,Math_Score,Reading_Score,Writing_Score,Study_Hours,Age
54,69.57726657,64.01547476,88.83077502,26.738532,16
55,76.42497806,58.36521714,88.89498287,27.39405344,19
56,70.99775834,76.26635922,60.48805243,20.78465225,15
57,74.53707847,54.20068492,47.33272089,27.61012998,12
58,60.48516859,53.52531348,43.34123205,27.60172093,16
59,64.55888251,60.62179955,87.20758758,33.10179149,15
60,59.91309328,60.01967549,51.22281484,33.49228575,15
61,64.60670258,84.29532054,64.86367291,30.01885445,14
62,57.80280577,74.49420807,63.07371923,34.65924187,15
63,44.10576097,65.87551241,73.94865407,31.69982492,16
64,72.66139213,52.74564481,36.27440388,29.92158944,15
65,63.97328596,73.44362976,78.77557194,30.80464084,19
66,45.5470248,54.99784653,85.47782048,29.04673253,14
67,76.94173383,49.55228903,76.76844174,28.02575243,14
68,56.39052453,76.88029792,68.78227657,28.66133232,12
69,70.77918094,68.16942612,76.94800333,24.35994334,16
70,80.93635843,74.20858824,82.98092691,31.40220853,12
71,71.93474366,68.18727653,19.54814487,25.03438195,15
72,87.09101027,73.56830612,114.1182462,34.20815632,15
73,51.47761269,58.48974407,82.80186645,28.7527071,14
74,76.03512462,54.65757158,61.95182835,30.24747491,18
75,59.72784864,71.81594518,67.1809325,32.46918388,17
76,56.93804276,56.96590336,84.87483555,33.21657233,17
77,61.31725503,58.10450222,72.67792122,22.14688296,14
78,65.32671202,60.44467496,34.38631064,28.96548162,17
79,70.84248013,65.17479159,116.2898572,34.40089456,16
80,52.52275239,61.46006089,72.78918686,21.5094709,17
81,83.5123973,51.25048707,95.40345423,31.93640238,17
82,76.9849366,58.56381597,61.15900304,18.72217885,14
83,46.95634471,42.76596848,105.7275411,24.88746578,15
84,92.32378291,71.25231451,80.72687378,30.19315276,17
85,98.43833764,48.97942344,87.17687669,21.71642449,12
86,87.68169357,53.95616661,54.09493268,25.07244631,18
87,67.30112746,65.52165079,99.22290579,22.64082496,16
88,53.93871068,57.60437004,88.79636329,38.24067466,15
89,85.8167759,80.43014595,101.0369246,30.82113878,16
90,63.9523458,52.0714309,62.43824881,32.83645139,14
91,88.33667606,67.67050869,65.37945763,28.8866245,15
92,73.12412467,64.60717182,121.078334,28.23284126,17
93,84.64958555,53.31906502,53.79968355,21.91762906,17
94,75.34549596,70.23276661,72.28100599,28.54081319,20
95,80.59859752,63.28453669,97.73782725,26.19253894,15
96,70.15750031,72.71790551,76.95449935,34.28961962,15
97,96.78805741,73.23504154,86.6590736,35.70550933,15
98,123,86.63235949,67.01101941,37.33289358,14
99,200,78.36527949,82.40111776,34.2627597,15
100,150,130,73.81535479,29.01601647,15.5
101,130,2,73.81535479,29.01601647,15.5
