,종목코드,종목명,날짜,종가,시가,저가,거래량
57,005930,카카오,20230227,76200,76300,76000,19500000
58,005930,카카오,20230228,75900,75800,75600,19200000
59,005930,카카오,20230301,76500,76400,76200,19600000
60,005930,카카오,20230302,77000,76900,76600,19150000
61,005930,카카오,20230303,77400,77300,77000,19300000
62,005930,카카오,20230304,78000,77900,77600,19450000
63,005930,카카오,20230305,78500,78400,78000,19550000
64,005930,카카오,20230306,78200,78100,77800,19600000
65,005930,카카오,20230307,77800,77700,77500,19250000
66,005930,카카오,20230308,77500,77400,77200,19050000
67,005930,카카오,20230309,77900,77800,77600,19700000
68,005930,카카오,20230310,78100,78000,77800,19850000
69,005930,카카오,20230311,78400,78300,78000,19750000
70,005930,카카오,20230312,78000,77900,77700,19500000
71,005930,카카오,20230313,77800,77700,77500,19900000
72,005930,카카오,20230314,77600,77500,77300,19750000
73,005930,카카오,20230315,77300,77200,77000,19800000
74,005930,카카오,20230316,77500,77400,77200,20000000
75,005930,카카오,20230317,78000,77900,77700,19950000
76,005930,카카오,20230318,78200,78100,77900,19850000
77,005930,카카오,20230319,78500,78400,78100,20050000
78,005930,카카오,20230320,78700,78600,78400,20200000
79,005930,카카오,20230321,78900,78800,78600,20300000
80,005930,카카오,20230322,79200,79100,78800,20100000
81,005930,카카오,20230323,79500,79400,79100,20400000
82,005930,카카오,20230324,79000,78900,78600,20350000
83,005930,카카오,20230325,78800,78700,78400,20250000
84,005930,카카오,20230326,79300,79200,78900,20450000
85,005930,카카오,20230327,79600,79500,79200,20550000
86,005930,카카오,20230328,79800,79700,79300,20600000
87,005930,카카오,20230329,79500,79400,79100,20500000
88,005930,카카오,20230330,79000,78900,78600,20400000
89,005930,카카오,20230331,79100,79000,78700,20650000
90,005930,카카오,20230401,79500,79400,79100,20800000
91,005930,카카오,20230402,79700,79600,79300,20950000
92,005930,카카오,20230403,80000,79900,79500,20700000
93,005930,카카오,20230404,80300,80200,79800,20900000
94,005930,카카오,20230405,80200,80100,79700,21050000
95,005930,카카오,20230406,80000,79900,79500,20800000
96,005930,카카오,20230407,80500,80400,80000,20750000
97,005930,카카오,20230408,80900,80800,80400,20950000
98,005930,카카오,20230409,81000,80900,80500,21000000
99,005930,카카오,20230410,81200,81100,80700,21150000
100,005930,카카오,20230411,81500,81300,81000,21200000
101,005930,카카오,20230412,81200,81100,80900,21350000
102,005930,카카오,20230413,81800,81700,81400,21400000
103,005930,카카오,20230414,82000,81800,81600,21450000
104,005930,카카오,20230415,81700,81600,81400,21300000
105,005930,카카오,20230416,82100,82000,81800,21500000
106,005930,카카오,20230417,82300,82200,82000,21450000
107,005930,카카오,20230418,82500,82400,82200,21550000
108,005930,카카오,20230419,81900,81800,81600,21400000
109,005930,카카오,20230420,82100,82000,81800,21600000
110,005930,카카오,20230421,82300,82200,82000,21350000
111,005930,카카오,20230422,82600,82500,82300,21450000
112,005930,카카오,20230423,82800,82700,82500,21500000
113,005930,카카오,20230424,83100,83000,82800,21650000
114,005930,카카오,20230425,83000,82800,82600,21500000
115,005930,카카오,20230426,83200,83100,82900,21700000
116,005930,카카오,20230427,83500,83400,83200,21850000
117,005930,카카오,20230428,83800,83700,83500,21900000
118,005930,카카오,20230429,83600,83500,83300,21800000
119,005930,카카오,20230430,84000,83900,83700,21950000
120,005930,카카오,20230501,84200,84100,83900,22000000
121,005930,카카오,20230502,84500,84400,84200,22100000
122,005930,카카오,20230503,84300,84200,84000,22050000
123,005930,카카오,20230504,84700,84600,84400,22150000
124,005930,카카오,20230505,84900,84800,84600,22200000
125,005930,카카오,20230506,85100,85000,84800,22300000
126,005930,카카오,20230507,85200,85100,84900,22350000
127,005930,카카오,20230508,85300,85200,85000,22400000
128,005930,카카오,20230509,85000,84900,84700,22250000
129,005930,카카오,20230510,85400,85300,85100,22450000
130,005930,카카오,20230511,85800,85700,85500,22500000
131,005930,카카오,20230512,86000,85900,85700,22600000
132,005930,카카오,20230513,85700,85600,85400,22550000
133,005930,카카오,20230514,86100,86000,85800,22700000
134,005930,카카오,20230515,86300,86200,86000,22750000
135,005930,카카오,20230516,86600,86500,86300,22800000
136,005930,카카오,20230517,86800,86700,86500,22850000
137,005930,카카오,20230518,87000,86900,86700,22900000
138,005930,카카오,20230519,87200,87100,86900,22800000
139,005930,카카오,20230520,87500,87400,87200,23000000
140,005930,카카오,20230521,87300,87200,87000,23100000
141,005930,카카오,20230522,87700,87600,87400,23150000
142,005930,카카오,20230523,88000,87900,87700,23050000
143,005930,카카오,20230524,88200,88100,87900,23200000
144,005930,카카오,20230525,88400,88300,88100,23300000
145,005930,카카오,20230526,88300,88200,88000,23400000
146,005930,카카오,20230527,88600,88500,88300,23350000
147,005930,카카오,20230528,88900,88800,88600,23500000
148,005930,카카오,20230529,89100,89000,88800,23450000
149,005930,카카오,20230530,89300,89200,89000,23600000
150,005930,카카오,20230531,89500,89400,89200,21000000
151,005930,카카오,20230601,89800,89700,89500,21100000
152,005930,카카오,20230602,90000,89900,89700,21200000
153,005930,카카오,20230603,90200,90100,89900,21300000
154,005930,카카오,20230604,90400,90300,90100,21400000
155,005930,카카오,20230605,90600,90500,90300,21500000
156,005930,카카오,20230606,90800,90700,90500,21600000
157,005930,카카오,20230607,91100,91000,90800,21700000
158,005930,카카오,20230608,91300,91200,91000,21800000
159,005930,카카오,20230609,91500,91400,91200,21900000
160,005930,카카오,20230610,91800,91700,91500,22000000
161,005930,카카오,20230611,92000,91900,91700,22100000
162,005930,카카오,20230612,92200,92100,91900,22200000
163,005930,카카오,20230613,92400,92300,92100,22300000
164,005930,카카오,20230614,92600,92500,92300,22400000
165,005930,카카오,20230615,92800,92700,92500,22500000
166,005930,카카오,20230616,93000,92900,92700,22600000
167,005930,카카오,20230617,93200,93100,92900,22700000
168,005930,카카오,20230618,93500,93400,93200,22800000
169,005930,카카오,20230619,93700,93600,93400,22900000
170,005930,카카오,20230620,93900,93800,93600,23000000
171,005930,카카오,20230621,94100,94000,93800,23100000
172,005930,카카오,20230622,94300,94200,94000,23200000
173,005930,카카오,20230623,94500,94400,94200,23300000
174,005930,카카오,20230624,94700,94600,94400,23400000
175,005930,카카오,20230625,94900,94800,94600,23500000
176,005930,카카오,20230626,95200,95100,94900,23600000
177,005930,카카오,20230627,95400,95300,95100,23700000
178,005930,카카오,20230628,95600,95500,95300,23800000
179,005930,카카오,20230629,95800,95700,95500,23900000
180,005930,카카오,20230630,96000,95900,95700,24000000
181,005930,카카오,20230701,96200,96100,95900,24100000
182,005930,카카오,20230702,96400,96300,96100,24200000
183,005930,카카오,20230703,96700,96600,96400,24300000
184,005930,카카오,20230704,96900,96800,96600,24400000
185,005930,카카오,20230705,97100,97000,96800,24500000
186,005930,카카오,20230706,97300,97200,97000,24600000
187,005930,카카오,20230707,97500,97400,97200,24700000
188,005930,카카오,20230708,97700,97600,97400,24800000
189,005930,카카오,20230709,98000,97900,97700,24900000
190,005930,카카오,20230710,98200,98100,97900,25000000
191,005930,카카오,20230711,98400,98300,98100,25100000
192,005930,카카오,20230712,98600,98500,98300,25200000
193,005930,카카오,20230713,98900,98800,98600,25300000
194,005930,카카오,20230714,99100,99000,98800,25400000
195,005930,카카오,20230715,99300,99200,99000,25500000
196,005930,카카오,20230716,99500,99400,99200,25600000
197,005930,카카오,20230717,99700,99600,99400,25700000
198,005930,카카오,20230718,99900,99800,99600,25800000
199,005930,카카오,20230719,100100,100000,99800,25900000
200,005930,카카오,20230721,100200,100100,100000,25950000
201,005930,카카오,20230722,100500,100400,100300,26000000
202,005930,카카오,20230723,100800,100700,100600,26050000
203,005930,카카오,20230724,101100,101000,100900,26100000
204,005930,카카오,20230725,101400,101300,101200,26150000
205,005930,카카오,20230726,101700,101600,101500,26200000
206,005930,카카오,20230727,102000,101900,101800,26250000
207,005930,카카오,20230728,102300,102200,102100,26300000
208,005930,카카오,20230729,102600,102500,102400,26350000
209,005930,카카오,20230730,102900,102800,102700,26400000
210,005930,카카오,20230731,103200,103100,103000,26450000
211,005930,카카오,20230801,103500,103400,103300,26500000
212,005930,카카오,20230802,103800,103700,103600,26550000
213,005930,카카오,20230803,104100,104000,103900,26600000
214,005930,카카오,20230804,104400,104300,104200,26650000
215,005930,카카오,20230805,104700,104600,104500,26700000
216,005930,카카오,20230806,105000,104900,104800,26750000
217,005930,카카오,20230807,105300,105200,105100,26800000
218,005930,카카오,20230808,105600,105500,105400,26850000
219,005930,카카오,20230809,105900,105800,105700,26900000
220,005930,카카오,20230810,106200,106100,106000,26950000
221,005930,카카오,20230811,106500,106400,106300,27000000
222,005930,카카오,20230812,106800,106700,106600,27050000
223,005930,카카오,20230813,107100,107000,106900,27100000
224,005930,카카오,20230814,107400,107300,107200,27150000
225,005930,카카오,20230815,107700,107600,107500,27200000
226,005930,카카오,20230816,108000,107900,107800,27250000
227,005930,카카오,20230817,108300,108200,108100,27300000
228,005930,카카오,20230818,108600,108500,108400,27350000
229,005930,카카오,20230819,108900,108800,108700,27400000
230,005930,카카오,20230820,109200,109100,109000,27450000
231,005930,카카오,20230821,109500,109400,109300,27500000
232,005930,카카오,20230822,109800,109700,109600,27550000
233,005930,카카오,20230823,110100,110000,109900,27600000
234,005930,카카오,20230824,110400,110300,110200,27650000
235,005930,카카오,20230825,110700,110600,110500,27700000
236,005930,카카오,20230826,111000,110900,110800,27750000
237,005930,카카오,20230827,111300,111200,111100,27800000
238,005930,카카오,20230828,111600,111500,111400,27850000
239,005930,카카오,20230829,111900,111800,111700,27900000
240,005930,카카오,20230830,112200,112100,112000,27950000
241,005930,카카오,20230831,112500,112400,112300,28000000
242,005930,카카오,20230901,112800,112700,112600,28050000
243,005930,카카오,20230902,113100,113000,112900,28100000
244,005930,카카오,20230903,113400,113300,113200,28150000
245,005930,카카오,20230904,113700,113600,113500,28200000
246,005930,카카오,20230905,114000,113900,113800,28250000
247,005930,카카오,20230906,114300,114200,114100,28300000
248,005930,카카오,20230907,114600,114500,114400,28350000
249,005930,카카오,20230908,114900,114800,114700,28400000
250,005930,카카오,20230721,100200,100100,100000,25950000
251,005930,카카오,20230722,100500,100400,100300,26000000
252,005930,카카오,20230723,100800,100700,100600,26050000
253,005930,카카오,20230724,101100,101000,100900,26100000
254,005930,카카오,20230725,101400,101300,101200,26150000
255,005930,카카오,20230726,101700,101600,101500,26200000
256,005930,카카오,20230727,102000,101900,101800,26250000
257,005930,카카오,20230728,102300,102200,102100,26300000
258,005930,카카오,20230729,102600,102500,102400,26350000
259,005930,카카오,20230730,102900,102800,102700,26400000
260,005930,카카오,20230731,103200,103100,103000,26450000
261,005930,카카오,20230801,103500,103400,103300,26500000
262,005930,카카오,20230802,103800,103700,103600,26550000
263,005930,카카오,20230803,104100,104000,103900,26600000
264,005930,카카오,20230804,104400,104300,104200,26650000
265,005930,카카오,20230805,104700,104600,104500,26700000
266,005930,카카오,20230806,105000,104900,104800,26750000
267,005930,카카오,20230807,105300,105200,105100,26800000
268,005930,카카오,20230808,105600,105500,105400,26850000
269,005930,카카오,20230809,105900,105800,105700,26900000
270,005930,카카오,20230810,106200,106100,106000,26950000
271,005930,카카오,20230811,106500,106400,106300,27000000
272,005930,카카오,20230812,106800,106700,106600,27050000
273,005930,카카오,20230813,107100,107000,106900,27100000
274,005930,카카오,20230814,107400,107300,107200,27150000
275,005930,카카오,20230815,107700,107600,107500,27200000
276,005930,카카오,20230816,108000,107900,107800,27250000
277,005930,카카오,20230817,108300,108200,108100,27300000
278,005930,카카오,20230818,108600,108500,108400,27350000
279,005930,카카오,20230819,108900,108800,108700,27400000
280,005930,카카오,20230820,109200,109100,109000,27450000
281,005930,카카오,20230821,109500,109400,109300,27500000
282,005930,카카오,20230822,109800,109700,109600,27550000
283,005930,카카오,20230823,110100,110000,109900,27600000
284,005930,카카오,20230824,110400,110300,110200,27650000
285,005930,카카오,20230825,110700,110600,110500,27700000
286,005930,카카오,20230826,111000,110900,110800,27750000
287,005930,카카오,20230827,111300,111200,111100,27800000
288,005930,카카오,20230828,111600,111500,111400,27850000
289,005930,카카오,20230829,111900,111800,111700,27900000
290,005930,카카오,20230830,112200,112100,112000,27950000
291,005930,카카오,20230831,112500,112400,112300,28000000
292,005930,카카오,20230901,112800,112700,112600,28050000
293,005930,카카오,20230902,113100,113000,112900,28100000
294,005930,카카오,20230903,113400,113300,113200,28150000
295,005930,카카오,20230904,113700,113600,113500,28200000
296,005930,카카오,20230905,114000,113900,113800,28250000
297,005930,카카오,20230906,114300,114200,114100,28300000
298,005930,카카오,20230907,114600,114500,114400,28350000
299,005930,카카오,20230908,114900,114800,114700,28400000
300,005930,카카오,20231031,130000,129900,129800,30950000
301,005930,카카오,20231101,130300,130200,130100,31000000
302,005930,카카오,20231102,130600,130500,130400,31050000
303,005930,카카오,20231103,130900,130800,130700,31100000
304,005930,카카오,20231104,131200,131100,131000,31150000
305,005930,카카오,20231105,131500,131400,131300,31200000
306,005930,카카오,20231106,131800,131700,131600,31250000
307,005930,카카오,20231107,132100,132000,131900,31300000
308,005930,카카오,20231108,132400,132300,132200,31350000
309,005930,카카오,20231109,132700,132600,132500,31400000
310,005930,카카오,20231110,133000,132900,132800,31450000
311,005930,카카오,20231111,133300,133200,133100,31500000
312,005930,카카오,20231112,133600,133500,133400,31550000
313,005930,카카오,20231113,133900,133800,133700,31600000
314,005930,카카오,20231114,134200,134100,134000,31650000
315,005930,카카오,20231115,134500,134400,134300,31700000
316,005930,카카오,20231116,134800,134700,134600,31750000
317,005930,카카오,20231117,135100,135000,134900,31800000
318,005930,카카오,20231118,135400,135300,135200,31850000
319,005930,카카오,20231119,135700,135600,135500,31900000
320,005930,카카오,20231120,136000,135900,135800,31950000
321,005930,카카오,20231121,136300,136200,136100,32000000
322,005930,카카오,20231122,136600,136500,136400,32050000
323,005930,카카오,20231123,136900,136800,136700,32100000
324,005930,카카오,20231124,137200,137100,137000,32150000
325,005930,카카오,20231125,137500,137400,137300,32200000
326,005930,카카오,20231126,137800,137700,137600,32250000
327,005930,카카오,20231127,138100,138000,137900,32300000
328,005930,카카오,20231128,138400,138300,138200,32350000
329,005930,카카오,20231129,138700,138600,138500,32400000
330,005930,카카오,20231130,139000,138900,138800,32450000
331,005930,카카오,20231201,139300,139200,139100,32500000
332,005930,카카오,20231202,139600,139500,139400,32550000
333,005930,카카오,20231203,139900,139800,139700,32600000
334,005930,카카오,20231204,140200,140100,140000,32650000
335,005930,카카오,20231205,140500,140400,140300,32700000
336,005930,카카오,20231206,140800,140700,140600,32750000
337,005930,카카오,20231207,141100,141000,140900,32800000
338,005930,카카오,20231208,141400,141300,141200,32850000
339,005930,카카오,20231209,141700,141600,141500,32900000
340,005930,카카오,20231210,142000,141900,141800,32950000
341,005930,카카오,20231211,142300,142200,142100,33000000
342,005930,카카오,20231212,142600,142500,142400,33050000
343,005930,카카오,20231213,142900,142800,142700,33100000
344,005930,카카오,20231214,143200,143100,143000,33150000
345,005930,카카오,20231215,143500,143400,143300,33200000
346,005930,카카오,20231216,143800,143700,143600,33250000
347,005930,카카오,20231217,144100,144000,143900,33300000
348,005930,카카오,20231218,144400,144300,144200,33350000
349,005930,카카오,20231219,144700,144600,144500,33400000
